author,comment,likes,is_reply
@firman.tannady,Kalau ppatk bisa tau angka deposit judol turun 70% berarti mereka pantau rekening penerima judol. Kenapa gk itu aja diblokir??? Dari mana angka 70% itu? Dari kazaakhstan?,759,False
@nexianmovie2260,"Alasannya simpel pak, ya Krn data fiktif yg dipakai, 
Ya kali bisa tau 70% tp ga tau ""pengirim"" dan "" penerima"" nya😂😂😂 kan aneh😂",98,True
@wahyujatianggara4405,smart sekali haha . mereka bisa tau karena mereka sendiri pelaku judol,83,True
@meme.bola45,"Gw baru mau komen gini 😂😂
Dan gw percaya klaim turun 70% itu klaim gedabrus 😂😂",51,True
@andhikasyaifudin4378,Dari ZIMBABWE 😂,11,True
@PencariNafkah-b6c,Dari kamboja yg suka ambil ginjal org” Indonesia😂😂,0,True
@heru9138,"Indonesia Emas❌
INDONESIA CEMAS✅",0,False
@h.adiwangsawangsa1665,Lebih selekttif …. Jangan asal Blokir ….. dicarilah rekening judol dg kesungguhan  krn itu tugas sodara ppatk,0,False
@mohdfadli3613,Dngr crita mamat ni viral sbb bodoh,0,False
@KandoAli,Makin gila' tarik semua uang yg di Bank biar Bank tidak punya uang biar kapok simpan di bangker aja,0,False
@SaintkillburgerIndonesia-ri4iz,Negara makin menyusahkan rakyat miskin. Apa2 di persulit. Banyak rakyat makin miskin,0,False
@erwinerwin2633,"Intinya bang,,negara lagi butuh duit cash,,lumayan kan dapet duit gratis ga kena bunga

Duit yg ditahan buat dana talangan sementara yg dipakai buat bayar utang

Prinsipnya gali lobang tutup lobang

😡😡🤬",0,False
@Abjas-57,Yg ini baru bisa luo kata #tolol bennix.. bukan mlysia t*l*l..,0,False
@purwadibayu6604,Sangat ngeri jadi rakyat kalaosampek beku,0,False
@LogicLife_R,"pejabat ngacok emang,makin ngawur",0,False
@setiasetiawan-q2l,PRABOWO PKI ASLINYA,0,False
@setiasetiawan-q2l,"Mereka membekukan,uang kita itu buat modal dulu untuk nutupi koruptor,dan pejabat tolol di pikir rakyat apa ga butuh makan",0,False
@acungrukyanto9478,"pecat itu ketua ppatk, otak nya ndak dipake ditaro di pantat, 
rek rakyat itu sbgai ngumpulin duit hsil kerja keras nya, klo skrg tdk aktif itu artinya kerjaan nya lgi tdk ada ata lgi nganggur,",0,False
@setiasetiawan-q2l,"KITA DIJAJAH SECARA ALUS,BUAT PEJABAT SENANG,KITA RAKYAT KECIL KESUSAHAN",0,False
@candragootube,"Menurut saya caranya gini. Buat pengumuan massive. Dalam 30hari kedepan  akan diadakan freeze bank  accounts, kalau tidak mau di freeze silahkan ke bank untuk melapor register pencocokan ulang.",0,False
@YulianAgusti,"Saya setuju, ini biadab",0,False
@setiasetiawan-q2l,"Nyesel dukung Prabowo,sumpah kamu rakyat Medan, Uda ga pro lagi sama prabowo.trnyata PKI",0,False
@setiasetiawan-q2l,Prabowo itu pki,0,False
@setiasetiawan-q2l,"PPATK ANJING KUBUR HIDUP""",0,False
@ArinarosAliHazrat,Bukan kebijakan sesat TPI perencanaan perampokan duit rakyat,0,False
@ZaeniSoundsystem-es2se,"masarakat haros pinter tarek uang 
yang ada di bank jangan tunggu resiko
jngn percaya sama bank indo bank bisa di
di seter manusia korop hati",0,False
@iZZnYaPaLsU-s7f,"Wess! BeN- eh Benix tarik dwit pake marTil sahaja discon 17,07 prosent😓",0,False
@basayev461,Aku cinta negaraku Indonesia tapi aku benci pemerintahanya,0,False
@HermanSusilo822,"*YANG GOBLOK ITU PEMERINTAHAN JOKOWI LANJUT PRABOWO*
*BANDAR JUDI DIPELIHARA BAHKAN AKUN JUDI ON LINE BAYAR UPETI SUPAYA TIDAK DI BLOKIR AKUN JUDOL BAIK DARI PIHAK MENKO INFO DAN POLRI*
*JANGAN DIBELA PEMERINTAHAN PRABOWO KE LANJUTAN JOKOWI*
*WAJAH INDONESIA SURAM DI PEMIMPINAN PRABOWO LANJUTAN JOKOWI* 👎👎👎",0,False
@FathKhanderi-y5v,"ppatk tidak bekerja pada mestinya,yg korupsi itu loh hukumannya di perberat dan asetnya di sita.yg merugikan negara itu KORUPSI",0,False
